title,doi,openalex_id,year,confidence_tier,source_link,pdf_url,status,mention_count,matched_terms,match_strength,discovery_source,expectation,scan_method,error
Wind-driven emissions of coarse-mode particles in an urban environment,10.5194/acp-24-745-2024,https://openalex.org/W4390973749,2024.0,high,https://acp.copernicus.org/articles/24/745/2024/acp-24-745-2024.pdf,https://acp.copernicus.org/articles/24/745/2024/acp-24-745-2024.html,mentions_found,6,lidar retrieval,contextual,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
Wind-Driven Emissions of Coarse Mode Particles in an Urban Environment,10.5194/egusphere-2023-951,https://openalex.org/W4380488617,2023.0,high,https://doi.org/10.5194/egusphere-2023-951,https://egusphere.copernicus.org/preprints/egusphere-2023-951/egusphere-2023-951.html,no_matches,0,,,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
"Atmospheric and meteorological responses during the April 8, 2024, total solar eclipse: advancing workforce development through experiential learning",10.3389/fenvs.2026.1751718,https://openalex.org/W7159860113,2026.0,high,https://doi.org/10.3389/fenvs.2026.1751718,https://www.frontiersin.org/articles/10.3389/fenvs.2026.1751718/full,no_matches,0,,,channel_b:B2:LAPSE-RATE+Doppler lidar,,html_scrape,
Emerging mobile Micropulsed-Doppler Lidar technology for Wind Energy Research,10.1051/epjconf/202636201032,https://openalex.org/W7152421819,2026.0,high,https://www.epj-conferences.org/articles/epjconf/pdf/2026/18/epjconf_clrc-ilrc2026_01032.pdf,https://doi.org/10.1051/epjconf/202636201032,no_matches,0,,,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
Exploratory Analysis of Wind Resource and Doppler LiDAR Performance in Southern Patagonia,10.3390/wind6010003,https://openalex.org/W7124243493,2026.0,high,https://www.mdpi.com/2674-032X/6/1/3/pdf?version=1768575622,https://www.mdpi.com/2674-032X/6/1/3/full?version=1768575622,no_matches,0,,,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
Intercomparison of seven collocated ground-based infrared spectrometer radiance observations and retrieved thermodynamic profiles,10.5194/amt-19-1573-2026,https://openalex.org/W7133293910,2026.0,high,https://amt.copernicus.org/articles/19/1573/2026/amt-19-1573-2026.pdf,https://amt.copernicus.org/articles/19/1573/2026/amt-19-1573-2026.html,mentions_found,1,AERI retrieval,contextual,channel_b:B2:PECAN+Doppler lidar,,html_scrape,
Measuring Inertial Subrange Boundary and Turbulence Isotropy using Airborne Doppler Lidar: An Investigation using LES-based Simulation,10.1051/epjconf/202636212003,https://openalex.org/W7152701116,2026.0,high,https://www.epj-conferences.org/articles/epjconf/pdf/2026/18/epjconf_clrc-ilrc2026_12003.pdf,https://doi.org/10.1051/epjconf/202636212003,no_matches,0,,,channel_b:B2:VORTEX-SE+Doppler lidar,,html_scrape,
Multi-season evaluation of temperature and wind in the marine boundary layer along the United States northeast coast in the High-Resolution Rapid Refresh model,10.5194/egusphere-2026-97,https://openalex.org/W7125420747,2026.0,high,https://egusphere.copernicus.org/preprints/2026/egusphere-2026-97/egusphere-2026-97.pdf,https://egusphere.copernicus.org/preprints/egusphere-2026-97/egusphere-2026-97.html,no_matches,0,,,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
Novel emitter for a compact general-purpose Doppler lidar based on diode-pumped Alexandrite,10.1051/epjconf/202636201009,https://openalex.org/W7152369067,2026.0,high,https://www.epj-conferences.org/articles/epjconf/pdf/2026/18/epjconf_clrc-ilrc2026_01009.pdf,https://doi.org/10.1051/epjconf/202636201009,no_matches,0,,,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
On the accuracy of X-band Dual-Doppler Radar for wind energy applications: a comparison study.,10.5194/egusphere-egu26-21748,https://openalex.org/W7135409607,2026.0,high,https://doi.org/10.5194/egusphere-egu26-21748,https://egusphere.copernicus.org/preprints/egusphere-egu26-21748/egusphere-egu26-21748.html,no_matches,0,,,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
Thermodynamics-guided machine learning model for predicting convective boundary layer height and its multi-site applicability,10.5194/acp-26-1415-2026,https://openalex.org/W7125935922,2026.0,high,https://acp.copernicus.org/articles/26/1415/2026/acp-26-1415-2026.pdf,https://acp.copernicus.org/articles/26/1415/2026/acp-26-1415-2026.html,mentions_found,2,lidar retrieval,contextual,channel_b:B2:LAFE+Doppler lidar,,html_scrape,
A large-eddy simulation exploration of the assumptions used in retrieving entrainment from a mixing diagram approach with ground-based remote sensors,10.5194/amt-18-5129-2025,https://openalex.org/W4414928085,2025.0,high,https://amt.copernicus.org/articles/18/5129/2025/amt-18-5129-2025.pdf,https://amt.copernicus.org/articles/18/5129/2025/amt-18-5129-2025.html,mentions_found,1,AERI retrieval,contextual,channel_b:B2:LAFE+Doppler lidar,,html_scrape,
Aerosol transport and associated boundary layer thermodynamics under contrasting synoptic conditions over a semiarid site,10.1016/j.scitotenv.2024.178357,https://openalex.org/W4406239302,2025.0,high,https://doi.org/10.1016/j.scitotenv.2024.178357,https://doi.org/10.1016/j.scitotenv.2024.178357,no_matches,0,,,channel_b:B2:SCALES+Doppler lidar,,html_scrape,
Characteristics of Eddy Dissipation Rates in Atmosphere Boundary Layer Using Doppler Lidar,10.3390/rs17091652,https://openalex.org/W4410161583,2025.0,high,https://www.mdpi.com/2072-4292/17/9/1652/pdf?version=1746618572,https://www.mdpi.com/2072-4292/17/9/1652/full?version=1746618572,no_matches,0,,,channel_b:B2:SCALES+Doppler lidar,,html_scrape,
Characterizing Seasonal Variation of the Atmospheric Mixing Layer Height Using Machine Learning Approaches,10.3390/rs17081399,https://openalex.org/W4409462126,2025.0,high,https://www.mdpi.com/2072-4292/17/8/1399/pdf?version=1744642615,https://www.mdpi.com/2072-4292/17/8/1399/full?version=1744642615,no_matches,0,,,channel_b:B2:LAFE+Doppler lidar,,html_scrape,
Comment on egusphere-2024-2894,10.5194/egusphere-2024-2894-rc1,https://openalex.org/W4406108992,2025.0,high,https://doi.org/10.5194/egusphere-2024-2894-rc1,https://egusphere.copernicus.org/preprints/egusphere-2024-2894-rc1/egusphere-2024-2894-rc1.html,no_matches,0,,,channel_b:B2:LAFE+Doppler lidar,,html_scrape,
Comment on wes-2025-113,10.5194/wes-2025-113-rc1,https://openalex.org/W4413377865,2025.0,high,https://doi.org/10.5194/wes-2025-113-rc1,https://wes.copernicus.org/preprints/wes-2025-113-rc1/wes-2025-113-rc1.html,no_matches,0,,,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
Emerging mobile lidar technology to study boundary-layer winds influenced by operating turbines,10.5194/wes-2025-79,https://openalex.org/W4413288198,2025.0,high,https://wes.copernicus.org/preprints/wes-2025-79/wes-2025-79.pdf,https://wes.copernicus.org/preprints/wes-2025-79/wes-2025-79.html,no_matches,0,,,channel_b:B2:PECAN+Doppler lidar,,html_scrape,
Evidence of Heating-Dominated Urban NO<sub><i>x</i></sub> Emissions,10.1021/acs.est.4c13276,https://openalex.org/W4408058210,2025.0,high,https://pubs.acs.org/doi/pdf/10.1021/acs.est.4c13276?ref=article_openPDF,https://doi.org/10.1021/acs.est.4c13276,no_matches,0,,,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
Exposing Process‐Level Biases in a Global Cloud Permitting Model With ARM Observations,10.1029/2024jd043059,https://openalex.org/W4411457202,2025.0,high,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2024JD043059,https://onlinelibrary.wiley.com/doi/full/10.1029/2024jd043059,no_matches,0,,,channel_b:B2:LAFE+Doppler lidar,,html_scrape,
Intercomparison of Seven Collocated Ground-based Infrared Spectrometer Radiance Observations and Retrieved Thermodynamic Profiles,10.5194/egusphere-2025-4814,https://openalex.org/W4416853084,2025.0,high,https://egusphere.copernicus.org/preprints/2025/egusphere-2025-4814/egusphere-2025-4814.pdf,https://egusphere.copernicus.org/preprints/egusphere-2025-4814/egusphere-2025-4814.html,no_matches,0,,,channel_b:B2:PECAN+Doppler lidar,,html_scrape,
Inverse Energy Cascades in the Boundary Layer During Strong Winds Based on Doppler Lidar,10.1029/2024gl113273,https://openalex.org/W4406626547,2025.0,high,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2024GL113273,https://onlinelibrary.wiley.com/doi/full/10.1029/2024gl113273,no_matches,0,,,channel_b:B2:SCALES+Doppler lidar,,html_scrape,
Linking large-scale weather patterns to observed and modeled turbine hub-height winds offshore of the US West Coast,10.5194/wes-10-483-2025,https://openalex.org/W4407890277,2025.0,high,https://wes.copernicus.org/articles/10/483/2025/wes-10-483-2025.pdf,https://wes.copernicus.org/articles/10/483/2025/wes-10-483-2025.html,no_matches,0,,,channel_b:B2:PECAN+Doppler lidar,,html_scrape,
Machine Learning Model for Inverting Convective Boundary Layer Height with Implicit Physical Constraints and Its Multi-Site Applicability,10.5194/egusphere-2025-2490,https://openalex.org/W4412945945,2025.0,high,https://egusphere.copernicus.org/preprints/2025/egusphere-2025-2490/egusphere-2025-2490.pdf,https://egusphere.copernicus.org/preprints/egusphere-2025-2490/egusphere-2025-2490.html,no_matches,0,,,channel_b:B2:LAFE+Doppler lidar,,html_scrape,
Mixed layer height retrievals using MicroPulse Differential Absorption Lidar,10.5194/amt-18-6069-2025,https://openalex.org/W4415837809,2025.0,high,https://amt.copernicus.org/articles/18/6069/2025/amt-18-6069-2025.pdf,https://amt.copernicus.org/articles/18/6069/2025/amt-18-6069-2025.html,mentions_found,4,lidar retrieval,contextual,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
Quantifying UAS Observation Error Variance Used in Data Assimilation Systems and Its Impact on Predictive Skill,10.1029/2024ms004601,https://openalex.org/W4414196375,2025.0,high,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2024MS004601,https://onlinelibrary.wiley.com/doi/full/10.1029/2024ms004601,mentions_found,20,CLAMPS-1/2; NSSL sounding; OU sounding,strong+contextual,channel_b:B2:LAPSE-RATE+Doppler lidar,,html_scrape,
The JAGUAR-DAS whole neutral atmosphere reanalysis: JAWARA,10.1186/s40645-024-00674-3,https://openalex.org/W4406204451,2025.0,high,https://progearthplanetsci.springeropen.com/counter/pdf/10.1186/s40645-024-00674-3,https://doi.org/10.1186/s40645-024-00674-3,no_matches,0,,,channel_b:B2:LAPSE-RATE+Doppler lidar,,html_scrape,
The MatterHEX Experiment—Investigating Atmospheric Flow Patterns in Highly Complex Terrain Related to Banner Cloud Formation,10.1175/bams-d-24-0108.1,https://openalex.org/W4411209839,2025.0,high,https://journals.ametsoc.org/downloadpdf/view/journals/bams/aop/BAMS-D-24-0108.1/BAMS-D-24-0108.1.pdf,https://journals.ametsoc.org/doi/full/10.1175/bams-d-24-0108.1,no_matches,0,,,channel_b:B2:SCALES+Doppler lidar,,html_scrape,
"Urban ozone formation and sensitivities to volatile chemical products, cooking emissions, and NO <sub> <i>x</i> </sub> upwind of and within two Los Angeles Basin cities",10.5194/acp-25-1121-2025,https://openalex.org/W4406917523,2025.0,high,https://acp.copernicus.org/articles/25/1121/2025/acp-25-1121-2025.pdf,https://acp.copernicus.org/articles/25/1121/2025/acp-25-1121-2025.html,no_matches,0,,,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
Using a Numerical Model to Evaluate a Proposed Mechanism for Nocturnal Low-Level Jets and Ascent over a Warm Tongue,10.1175/mwr-d-24-0111.1,https://openalex.org/W4410545470,2025.0,high,https://journals.ametsoc.org/downloadpdf/view/journals/mwre/aop/MWR-D-24-0111.1/MWR-D-24-0111.1.pdf,https://journals.ametsoc.org/doi/full/10.1175/mwr-d-24-0111.1,no_matches,0,,,channel_b:B2:PECAN+Doppler lidar,,html_scrape,
Using ground-based lidar data to investigate the water–vapor budget in the daytime atmospheric boundary layer,10.1007/s42865-025-00110-4,https://openalex.org/W4413135141,2025.0,high,https://link.springer.com/content/pdf/10.1007/s42865-025-00110-4.pdf,https://link.springer.com/article/10.1007/s42865-025-00110-4,error,0,,,channel_b:B2:LAFE+Doppler lidar,,html_scrape,"Timeout 25000ms exceeded.
=========================== logs ===========================
""load"" event fired
============================================================"
Wildfire Smoke Shading Observations: Impacts on Boundary Layer Mixing and Thermally Driven Smoke Transport,10.1029/2024jd043303,https://openalex.org/W4412042902,2025.0,high,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2024JD043303,https://onlinelibrary.wiley.com/doi/full/10.1029/2024jd043303,no_matches,0,,,channel_b:B2:SCALES+Doppler lidar,,html_scrape,
"A Case Study Featuring the Time Evolution of a Fire‐Induced Plume Jet Over the Rum Creek Fire: Mechanisms, Processes, and Dynamical Interplay",10.1029/2023jd040483,https://openalex.org/W4396904856,2024.0,high,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2023JD040483,https://onlinelibrary.wiley.com/doi/full/10.1029/2023jd040483,no_matches,0,,,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
A Novel Gravity Wave Transport Parametrization for Global Chemistry Climate Models: Description and Validation,10.1029/2023ms003938,https://openalex.org/W4396499683,2024.0,high,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2023MS003938,https://onlinelibrary.wiley.com/doi/full/10.1029/2023ms003938,no_matches,0,,,channel_b:B2:LAPSE-RATE+Doppler lidar,,html_scrape,
"Aerosol, Clouds and Trace Gases Research Infrastructure (ACTRIS): The European Research Infrastructure Supporting Atmospheric Science",10.1175/bams-d-23-0064.1,https://openalex.org/W4396612458,2024.0,high,https://journals.ametsoc.org/downloadpdf/view/journals/bams/aop/BAMS-D-23-0064.1/BAMS-D-23-0064.1.pdf,https://journals.ametsoc.org/doi/full/10.1175/bams-d-23-0064.1,no_matches,0,,,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
"Aerosol-related effects on the occurrence of heterogeneous ice formation over Lauder, New Zealand ∕ Aotearoa",10.5194/acp-24-1265-2024,https://openalex.org/W4391316838,2024.0,high,https://acp.copernicus.org/articles/24/1265/2024/acp-24-1265-2024.pdf,https://acp.copernicus.org/articles/24/1265/2024/acp-24-1265-2024.html,mentions_found,1,OU lidar,contextual,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
An air quality and boundary layer dynamics analysis of the Los Angeles basin area during the Southwest Urban NO <sub> <i>x</i> </sub> and VOCs Experiment (SUNVEx),10.5194/acp-24-9277-2024,https://openalex.org/W4401891695,2024.0,high,https://acp.copernicus.org/articles/24/9277/2024/acp-24-9277-2024.pdf,https://acp.copernicus.org/articles/24/9277/2024/acp-24-9277-2024.html,no_matches,0,,,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
Assessing the Fidelity of Landfalling Tropical Cyclone Convective‐Scale Environments in the Warn‐On‐Forecast System Using Radiosondes,10.1029/2023jd040473,https://openalex.org/W4399254997,2024.0,high,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2023JD040473,https://onlinelibrary.wiley.com/doi/full/10.1029/2023jd040473,no_matches,0,,,channel_b:B2:VORTEX-SE+Doppler lidar,,html_scrape,
Case study of a bore wind-ramp event from lidar measurements and HRRR simulations over ARM Southern Great Plains,10.1063/5.0161905,https://openalex.org/W4390544921,2024.0,high,https://doi.org/10.1063/5.0161905,https://doi.org/10.1063/5.0161905,no_matches,0,,,channel_b:B2:PECAN+Doppler lidar,,html_scrape,
Evaluation of Hub‐Height Wind Forecasts Over the New York Bight,10.1002/we.2936,https://openalex.org/W4401088128,2024.0,high,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/we.2936,https://onlinelibrary.wiley.com/doi/full/10.1002/we.2936,no_matches,0,,,channel_b:B2:SCALES+Doppler lidar,,html_scrape,
Evaluation of the Planetary Boundary Layer Height From ERA5 Reanalysis With MOSAiC Observations Over the Arctic Ocean,10.1029/2024jd040779,https://openalex.org/W4399915901,2024.0,high,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2024JD040779,https://onlinelibrary.wiley.com/doi/full/10.1029/2024jd040779,no_matches,0,,,channel_b:B2:SCALES+remote profiler,,html_scrape,
Exploring the daytime boundary layer evolution based on Doppler spectrum width from multiple coplanar wind lidars during CROSSINN,10.5194/wcd-5-609-2024,https://openalex.org/W4395454137,2024.0,high,https://wcd.copernicus.org/articles/5/609/2024/wcd-5-609-2024.pdf,https://wcd.copernicus.org/articles/5/609/2024/wcd-5-609-2024.html,mentions_found,4,lidar retrieval,contextual,channel_b:B2:LAPSE-RATE+Doppler lidar,,html_scrape,
High-Resolution Remote Sensing of the Gradient Richardson Number in a Megacity Boundary Layer,10.3390/rs16061075,https://openalex.org/W4392953447,2024.0,high,https://www.mdpi.com/2072-4292/16/6/1075/pdf?version=1710846358,https://www.mdpi.com/2072-4292/16/6/1075/full?version=1710846358,no_matches,0,,,channel_b:B2:LAPSE-RATE+Doppler lidar,,html_scrape,
Improving solution availability and temporal consistency of an optimal-estimation physical retrieval for ground-based thermodynamic boundary layer profiling,10.5194/amt-17-6603-2024,https://openalex.org/W4404536956,2024.0,high,https://amt.copernicus.org/articles/17/6603/2024/amt-17-6603-2024.pdf,https://amt.copernicus.org/articles/17/6603/2024/amt-17-6603-2024.html,mentions_found,8,AERI retrieval; lidar retrieval,contextual,channel_b:B2:PECAN+Doppler lidar,,html_scrape,
Lidar Network for Temperature and Wind Measurements in the Mesosphere and Lower Thermosphere Region,10.1029/2024sw003981,https://openalex.org/W4403143475,2024.0,high,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2024SW003981,https://onlinelibrary.wiley.com/doi/full/10.1029/2024sw003981,no_matches,0,,,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
Measuring Coupled Fire–Atmosphere Dynamics: The California Fire Dynamics Experiment (CalFiDE),10.1175/bams-d-23-0012.1,https://openalex.org/W4391361112,2024.0,high,https://journals.ametsoc.org/downloadpdf/view/journals/bams/105/3/BAMS-D-23-0012.1.pdf,https://journals.ametsoc.org/doi/full/10.1175/bams-d-23-0012.1,no_matches,0,,,channel_b:B2:SCALES+Doppler lidar,,html_scrape,
"Shallow boundary layer heights controlled by the surface-based temperature inversion strength are responsible for trapping home heating emissions near the ground level in Fairbanks, Alaska",10.5194/egusphere-2023-3082,https://openalex.org/W4390538738,2024.0,high,https://doi.org/10.5194/egusphere-2023-3082,https://egusphere.copernicus.org/preprints/egusphere-2023-3082/egusphere-2023-3082.html,no_matches,0,,,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
The ALOMAR Rayleigh/Mie/Raman lidar: status after 30 years of operation,10.5194/amt-2024-31,https://openalex.org/W4396221030,2024.0,high,https://amt.copernicus.org/articles/17/5841/2024/amt-17-5841-2024.pdf,https://amt.copernicus.org/preprints/amt-2024-31/amt-2024-31.html,no_matches,0,,,channel_b:B2:RIVoRS+Doppler lidar,,html_scrape,
"The Doppler wind, temperature, and aerosol RMR lidar system at Kühlungsborn, Germany – Part 1: Technical specifications and capabilities",10.5194/amt-17-2789-2024,https://openalex.org/W4396722480,2024.0,high,https://amt.copernicus.org/articles/17/2789/2024/amt-17-2789-2024.pdf,https://amt.copernicus.org/articles/17/2789/2024/amt-17-2789-2024.html,mentions_found,1,lidar retrieval,contextual,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
"The Planetary Boundary Layer Height Climatology Over Oceans Using COSMIC-2 and Spire GNSS RO Bending Angles From 2019 to 2023: Comparisons to CALIOP, ERA-5, MERRA2, and CFS Reanalysis",10.1109/tgrs.2024.3503418,https://openalex.org/W4404688663,2024.0,high,https://doi.org/10.1109/tgrs.2024.3503418,https://doi.org/10.1109/tgrs.2024.3503418,no_matches,0,,,channel_b:B2:LAPSE-RATE+Doppler lidar,,html_scrape,
Validation of ERA5 Boundary Layer Meteorological Variables by Remote-Sensing Measurements in the Southeast China Mountains,10.3390/rs16030548,https://openalex.org/W4391385340,2024.0,high,https://www.mdpi.com/2072-4292/16/3/548/pdf?version=1706697958,https://www.mdpi.com/2072-4292/16/3/548/full?version=1706697958,no_matches,0,,,channel_b:B2:SCALES+Doppler lidar,,html_scrape,
A Comparison of Convective Storm Inflow Moisture Variability between the Great Plains and the Southeastern United States Using Multiplatform Field Campaign Observations,10.1175/jtech-d-22-0037.1,https://openalex.org/W4376106902,2023.0,high,https://doi.org/10.1175/jtech-d-22-0037.1,https://journals.ametsoc.org/doi/full/10.1175/jtech-d-22-0037.1,no_matches,0,,,channel_b:B2:PECAN+Doppler lidar,,html_scrape,
A Methodology for Estimating the Energy and Moisture Budget of the Convective Boundary Layer Using Continuous Ground-Based Infrared Spectrometer Observations,10.1175/jamc-d-22-0163.1,https://openalex.org/W4379651122,2023.0,high,https://journals.ametsoc.org/downloadpdf/view/journals/apme/62/7/JAMC-D-22-0163.1.pdf,https://journals.ametsoc.org/doi/full/10.1175/jamc-d-22-0163.1,no_matches,0,,,channel_b:B2:LAFE+Doppler lidar,,html_scrape,
A method for generating a quasi-linear convective system suitable for observing system simulation experiments,10.5194/gmd-16-1779-2023,https://openalex.org/W4361292167,2023.0,high,https://gmd.copernicus.org/articles/16/1779/2023/gmd-16-1779-2023.pdf,https://gmd.copernicus.org/articles/16/1779/2023/gmd-16-1779-2023.html,mentions_found,3,AERI retrieval; lidar retrieval,contextual,channel_b:B2:PECAN+Doppler lidar,,html_scrape,
Analysis of the Causes and Wind Field Structure of a Dry Microburst in a Weak Weather Background,10.3390/atmos14101540,https://openalex.org/W4387435119,2023.0,high,https://www.mdpi.com/2073-4433/14/10/1540/pdf?version=1696774298,https://www.mdpi.com/2073-4433/14/10/1540/full?version=1696774298,no_matches,0,,,channel_b:B2:LAPSE-RATE+Doppler lidar,,html_scrape,
Boundary layer moisture variability at the Atmospheric Radiation Measurement (ARM) Eastern North Atlantic observatory during marine conditions,10.5194/acp-23-3453-2023,https://openalex.org/W4327952016,2023.0,high,https://acp.copernicus.org/articles/23/3453/2023/acp-23-3453-2023.pdf,https://acp.copernicus.org/articles/23/3453/2023/acp-23-3453-2023.html,mentions_found,2,AERI retrieval; lidar retrieval,contextual,channel_b:B2:RIVoRS+Doppler lidar,,html_scrape,
Capturing plume behavior in complex terrain: an overview of the Nevada National Security Site Meteorological Experiment (METEX21),10.3389/feart.2023.1251153,https://openalex.org/W4388945489,2023.0,high,https://www.frontiersin.org/articles/10.3389/feart.2023.1251153/pdf?isPublishedV2=False,https://www.frontiersin.org/articles/10.3389/feart.2023.1251153/full,no_matches,0,,,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
"Climatological assessment of the vertically resolved optical and microphysical aerosol properties by lidar measurements, sun photometer, and in situ observations over 17 years at Universitat Politècnica de Catalunya (UPC) Barcelona",10.5194/acp-23-12887-2023,https://openalex.org/W4387634029,2023.0,high,https://acp.copernicus.org/articles/23/12887/2023/acp-23-12887-2023.pdf,https://acp.copernicus.org/articles/23/12887/2023/acp-23-12887-2023.html,mentions_found,2,lidar retrieval,contextual,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
Doppler Lidar Measurements of Wind Variability and LLJ Properties in Central Oklahoma during the August 2017 Land–Atmosphere Feedback Experiment,10.1175/jamc-d-22-0128.1,https://openalex.org/W4377013641,2023.0,high,https://journals.ametsoc.org/downloadpdf/journals/apme/62/8/JAMC-D-22-0128.1.pdf,https://journals.ametsoc.org/doi/full/10.1175/jamc-d-22-0128.1,no_matches,0,,,channel_b:B2:PECAN+Doppler lidar,,html_scrape,
Energy-scaling of a diode-pumped Alexandrite laser and prototype development for a compact general-purpose Doppler lidar,10.1364/ao.504567,https://openalex.org/W4387781284,2023.0,high,https://doi.org/10.1364/ao.504567,https://doi.org/10.1364/ao.504567,error,0,,,channel_b:B2:SCALES+Doppler lidar,,html_scrape,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://doi.org/10.1364/ao.504567"", waiting until ""domcontentloaded""
"
Evaluation of the Horizontal Winds Simulated by IAP-HAGCM through Comparison with Beijing MST Radar Observations,10.3390/rs15143571,https://openalex.org/W4384558031,2023.0,high,https://www.mdpi.com/2072-4292/15/14/3571/pdf?version=1689648760,https://www.mdpi.com/2072-4292/15/14/3571/full?version=1689648760,no_matches,0,,,channel_b:B2:TRACER+Doppler lidar,,html_scrape,
