entry_key,work_key,source_campaign,review_flag,target_campaign,title
doi:10.5194/amt-11-2395-2018	LAPSE-RATE,doi:10.5194/amt-11-2395-2018,LAPSE-RATE,r,,Algorithm theoretical baseline for formaldehyde retrievals from S5P TROPOMI and from the QA4ECV project
doi:10.1175/waf-d-17-0120.1	(no campaign tag),doi:10.1175/waf-d-17-0120.1,(no campaign tag),m,VORTEX-SE,Cold-Season Tornadoes: Climatological and Meteorological Insights
doi:10.1175/wcas-d-17-0073.1	(no campaign tag),doi:10.1175/wcas-d-17-0073.1,(no campaign tag),m,(no campaign tag),Cold-season Tornado Risk Communication: Case Studies from November 2016 to February 2017
doi:10.5194/wes-2018-42	LAPSE-RATE,doi:10.5194/wes-2018-42,LAPSE-RATE,r,,Do Wind Turbines Pose Roll Hazards to Light Aircraft?
doi:10.5194/wes-3-833-2018	LAPSE-RATE,doi:10.5194/wes-3-833-2018,LAPSE-RATE,r,,Do wind turbines pose roll hazards to light aircraft?
doi:10.1175/jamc-d-17-0349.1	LAPSE-RATE,doi:10.1175/jamc-d-17-0349.1,LAPSE-RATE,r,,Influence of Lake Erie on a Lake Ontario Lake-Effect Snowstorm
doi:10.3390/atmos9070268	LAPSE-RATE,doi:10.3390/atmos9070268,LAPSE-RATE,m,(no campaign tag),Innovative Strategies for Observations in the Arctic Atmospheric Boundary Layer (ISOBAR)—The Hailuoto 2017 Campaign
doi:10.5194/acp-2018-733	LAPSE-RATE,doi:10.5194/acp-2018-733,LAPSE-RATE,r,,"Interactions between the atmosphere, cryosphere and ecosystemsat northern high latitudes"
doi:10.2151/jmsj.2019-023	LAPSE-RATE,doi:10.2151/jmsj.2019-023,LAPSE-RATE,r,,"Low-Level Wind Shear Induced by Horizontal Roll Vortices at Narita International Airport, Japan"
doi:10.3390/atmos9030080	LAPSE-RATE,doi:10.3390/atmos9030080,LAPSE-RATE,r,,Moist Orographic Convection: Physical Mechanisms and Links to Surface-Exchange Processes
doi:10.1029/2017rg000593	LAPSE-RATE,doi:10.1029/2017rg000593,LAPSE-RATE,r,,Remote Sensing of Droplet Number Concentration in Warm Clouds: A Review of the Current State of Knowledge and Perspectives
doi:10.1175/jas-d-18-0276.1	(no campaign tag),doi:10.1175/jas-d-18-0276.1,(no campaign tag),r,,Reply to “Comments on ‘The Regulation of Tornado Intensity by Updraft Width’”
doi:10.1016/j.atmosres.2018.09.004	(no campaign tag),doi:10.1016/j.atmosres.2018.09.004,(no campaign tag),r,,Sensitivity of WRF simulations with the YSU PBL scheme to the lowest model level height for a sea fog event over the Yellow Sea
doi:10.20944/preprints201811.0187.v1	LAPSE-RATE,doi:10.20944/preprints201811.0187.v1,LAPSE-RATE,r,,"Summertime Urban Mixing Layer Height over Sofia, Bulgaria"
doi:10.1029/2018gl080667	LAPSE-RATE,doi:10.1029/2018gl080667,LAPSE-RATE,r,,The Carr Fire Vortex: A Case of Pyrotornadogenesis?
doi:10.1175/mwr-d-17-0128.1	PECAN,doi:10.1175/mwr-d-17-0128.1,PECAN,r,,Understanding the Impact of Radar and In Situ Observations on the Prediction of a Nocturnal Convection Initiation Event on 25 June 2013 Using an Ensemble-Based Multiscale Data Assimilation System
doi:10.5194/acp-18-311-2018	LAPSE-RATE,doi:10.5194/acp-18-311-2018,LAPSE-RATE,r,,Vertically resolved concentration and liquid water content of atmospheric nanoparticles at the US DOE Southern Great Plains site
doi:10.1175/waf-d-18-0207.1	LAPSE-RATE,doi:10.1175/waf-d-18-0207.1,LAPSE-RATE,r,,Can Mountain Waves Contribute to Damaging Winds Far Away from the Lee Slope?
doi:10.1029/2019jd030287	LAPSE-RATE,doi:10.1029/2019jd030287,LAPSE-RATE,r,,Characteristics of Atmospheric Turbulence Retrieved From High Vertical‐Resolution Radiosonde Data in the United States
doi:10.1175/waf-d-18-0211.1	(no campaign tag),doi:10.1175/waf-d-18-0211.1,(no campaign tag),m,(no campaign tag),Characteristics of Tornado Events and Warnings in the Southeastern United States
doi:10.1175/mwr-d-19-0123.1	LAPSE-RATE,doi:10.1175/mwr-d-19-0123.1,LAPSE-RATE,r,,Convection Initiation Aided by Lake-Breeze Convergence over the Niagara Peninsula
doi:10.3390/atmos10020077	LAPSE-RATE,doi:10.3390/atmos10020077,LAPSE-RATE,r,,Effect of Vertical Air Motion on Disdrometer Derived Z-R Coefficients
doi:10.3390/s19122770	LAPSE-RATE,doi:10.3390/s19122770,LAPSE-RATE,m,(no campaign tag),Estimating the Vertical Structure of Weather-Induced Mission Costs for Small UAS
id:https://openalex.org/W3015721349	(no campaign tag),id:https://openalex.org/W3015721349,(no campaign tag),r,,"Exploring the Impact of Disaster Response Preparedness by the New York State Military Forces to the World Trade Center September 11, 2001, Terrorist Attacks"
doi:10.1175/jamc-d-19-0046.1	LAPSE-RATE,doi:10.1175/jamc-d-19-0046.1,LAPSE-RATE,r,,Identification and Characterization of Persistent Cold Pool Events from Temperature and Wind Profilers in the Columbia River Basin
doi:10.5194/acp-19-2015-2019	LAPSE-RATE,doi:10.5194/acp-19-2015-2019,LAPSE-RATE,r,,"Interactions between the atmosphere, cryosphere, and ecosystems at northern high latitudes"
doi:10.5194/wes-4-421-2019	(no campaign tag),doi:10.5194/wes-4-421-2019,(no campaign tag),r,,Lidar estimation of rotor-effective wind speed – an experimental comparison
doi:10.5194/acp-2018-1300	LAPSE-RATE,doi:10.5194/acp-2018-1300,LAPSE-RATE,r,,Nocturnal boundary layer turbulence regimes analysis during the BLLAST campaign
doi:10.3390/atmos10010036	LAPSE-RATE,doi:10.3390/atmos10010036,LAPSE-RATE,r,,"Summertime Urban Mixing Layer Height over Sofia, Bulgaria"
doi:10.1175/mwr-d-18-0246.1	(no campaign tag),doi:10.1175/mwr-d-18-0246.1,(no campaign tag),m,VORTEX-SE,"The Development of Severe Vortices within Simulated High-Shear, Low-CAPE Convection"
doi:10.1175/jamc-d-18-0224.1	(no campaign tag),doi:10.1175/jamc-d-18-0224.1,(no campaign tag),m,VORTEX-SE,The Empirical Dependence of Tornadogenesis on Elevation Roughness: Historical Record Analysis Using Bayes’s Law in Arkansas
doi:10.1029/2019gl084099	(no campaign tag),doi:10.1029/2019gl084099,(no campaign tag),r,,"Using Overshooting Top Area to Discriminate Potential for Large, Intense Tornadoes"
doi:10.1007/s10546-019-00473-0	LAPSE-RATE,doi:10.1007/s10546-019-00473-0,LAPSE-RATE,r,,Wind-Turbine and Wind-Farm Flows: A Review
doi:10.5194/amt-13-5335-2020	LAPSE-RATE,doi:10.5194/amt-13-5335-2020,LAPSE-RATE,r,,Application of the shipborne remote sensing supersite OCEANET for profiling of Arctic aerosols and clouds during <i>Polarstern</i> cruise PS106
doi:10.1175/waf-d-20-0101.1	LAPSE-RATE,doi:10.1175/waf-d-20-0101.1,LAPSE-RATE,m,(no campaign tag),"Boundary Layer and Surface Verification of the High-Resolution Rapid Refresh, Version 3"
doi:10.5194/amt-2020-75	PECAN,doi:10.5194/amt-2020-75,PECAN,r,,Characteristics and performance of vertical winds as observed by the radar wind profiler network of China
doi:10.5194/amt-13-4589-2020	PECAN,doi:10.5194/amt-13-4589-2020,PECAN,r,,Characteristics and performance of wind profiles as observed by the radar wind profiler network of China
doi:10.5194/acp-20-1723-2020	(no campaign tag),doi:10.5194/acp-20-1723-2020,(no campaign tag),r,,Detection of land-surface-induced atmospheric water vapor patterns
doi:10.1029/2020gl088242	(no campaign tag),doi:10.1029/2020gl088242,(no campaign tag),r,,Differentiating Between Tornadic and Nontornadic Supercells Using Polarimetric Radar Signatures of Hydrometeor Size Sorting
doi:10.3390/rs12182951	PECAN,doi:10.3390/rs12182951,PECAN,r,,Doppler Aerosol WiNd (DAWN) Lidar during CPEX 2017: Instrument Performance and Data Utility
doi:10.3390/atmos11050505	LAPSE-RATE,doi:10.3390/atmos11050505,LAPSE-RATE,r,,Estimations of the Mexicali Valley (Mexico) Mixing Height
doi:10.1175/jamc-d-19-0195.1	(no campaign tag),doi:10.1175/jamc-d-19-0195.1,(no campaign tag),r,,Evaluating the performance of WRF urban schemes and PBL schemes over Dallas Fort Worth during a dry summer and a wet summer
doi:10.5194/wes-5-1169-2020	(no campaign tag),doi:10.5194/wes-5-1169-2020,(no campaign tag),r,,How wind speed shear and directional veer affect the power production of a megawatt-scale operational wind turbine
doi:10.1029/2020jd033870	(no campaign tag),doi:10.1029/2020jd033870,(no campaign tag),r,,Idealized Model Simulations to Determine Impacts of Storm‐Relative Winds on Differential Reflectivity and Specific Differential Phase Fields
doi:10.5194/amt-2020-18	LAPSE-RATE,doi:10.5194/amt-2020-18,LAPSE-RATE,r,,Integrated System for Atmospheric Boundary Layer Height Estimation (ISABLE) using a Ceilometer and Microwave Radiometer
doi:10.5194/amt-13-6965-2020	LAPSE-RATE,doi:10.5194/amt-13-6965-2020,LAPSE-RATE,r,,Integrated System for Atmospheric Boundary Layer Height Estimation (ISABLE) using a ceilometer and microwave radiometer
doi:10.3390/atmos11111178	LAPSE-RATE,doi:10.3390/atmos11111178,LAPSE-RATE,r,,Investigation of Marine Wind Veer Characteristics Using Wind Lidar Measurements
doi:10.5194/amt-13-2849-2020	(no campaign tag),doi:10.5194/amt-13-2849-2020,(no campaign tag),r,,Methodology for deriving the telescope focus function and its uncertainty for a heterodyne pulsed Doppler lidar
doi:10.1002/we.2484	LAPSE-RATE,doi:10.1002/we.2484,LAPSE-RATE,r,,Offshore wind farm wake recovery: Airborne measurements and its representation in engineering models
doi:10.1051/epjconf/202023703022	LAPSE-RATE,doi:10.1051/epjconf/202023703022,LAPSE-RATE,r,,Ozone Lidar Observations in the City of Paris: Seasonal Variability and Role of The Nocturnal Low Level Jet
doi:10.1051/epjconf/202023703022/pdf	LAPSE-RATE,doi:10.1051/epjconf/202023703022/pdf,LAPSE-RATE,r,,Ozone Lidar Observations in the City of Paris: Seasonal Variability and Role of The Nocturnal Low Level Jet
doi:10.5194/acp-20-8003-2020	(no campaign tag),doi:10.5194/acp-20-8003-2020,(no campaign tag),r,,"Smoke of extreme Australian bushfires observed in the stratosphere over Punta Arenas, Chile, in January 2020: optical thickness, lidar ratios, and depolarization ratios at 355 and 532 nm"
doi:10.1007/s10546-020-00508-x	LAPSE-RATE,doi:10.1007/s10546-020-00508-x,LAPSE-RATE,r,,Steady-State Large-Eddy Simulations of Convective and Stable Urban Boundary Layers
doi:10.1175/jas-d-19-0167.1	LAPSE-RATE,doi:10.1175/jas-d-19-0167.1,LAPSE-RATE,r,,Summertime Post-Cold-Frontal Marine Stratocumulus Transition Processes over the Eastern North Atlantic
doi:10.1007/s10546-020-00529-6	PECAN,doi:10.1007/s10546-020-00529-6,PECAN,r,,Surface-Energy-Balance Closure over Land: A Review
doi:10.1175/jtech-d-19-0123.1	PECAN,doi:10.1175/jtech-d-19-0123.1,PECAN,r,,The Impact of Airborne Doppler Aerosol Wind (DAWN) Lidar Wind Profiles on Numerical Simulations of Tropical Convective Systems during the NASA Convective Processes Experiment (CPEX)
doi:10.5194/acp-2020-1123	LAPSE-RATE,doi:10.5194/acp-2020-1123,LAPSE-RATE,r,,The dynamic-thermal structures of the planetary boundary layer dominated by synoptic circulations and the regular effect on air pollution in Beijing
doi:10.5194/acp-20-5157-2020	LAPSE-RATE,doi:10.5194/acp-20-5157-2020,LAPSE-RATE,r,,The influence of water vapor anomalies on clouds and their radiative effect at Ny-Ålesund
doi:10.1175/jas-d-19-0301.1	LAPSE-RATE,doi:10.1175/jas-d-19-0301.1,LAPSE-RATE,m,(no campaign tag),Theoretical Understanding of the Linear Relationship between Convective Updrafts and Cloud-Base Height for Shallow Cumulus Clouds. Part II: Continental Conditions
doi:10.5194/acp-2020-1093	(no campaign tag),doi:10.5194/acp-2020-1093,(no campaign tag),r,,"Tropospheric and stratospheric wildfire smoke profiling with lidar:Mass, surface area, CCN and INP retrieval"
doi:10.1175/jas-d-19-0321.1	(no campaign tag),doi:10.1175/jas-d-19-0321.1,(no campaign tag),m,VORTEX-SE,Understanding How Complex Terrain Impacts Tornado Dynamics Using a Suite of High-Resolution Numerical Simulations
doi:10.5194/amt-13-521-2020	LAPSE-RATE,doi:10.5194/amt-13-521-2020,LAPSE-RATE,r,,Wind sensing with drone-mounted wind lidars: proof of concept
doi:10.1175/waf-d-20-0136.1	(no campaign tag),doi:10.1175/waf-d-20-0136.1,(no campaign tag),m,VORTEX-SE,Assessing the Influence of Complex Terrain on Severe Convective Environments in Northeastern Alabama
doi:10.1175/mwr-d-20-0359.1	(no campaign tag),doi:10.1175/mwr-d-20-0359.1,(no campaign tag),m,LAPSE-RATE,Assimilation of a Coordinated Fleet of Uncrewed Aircraft System Observations in Complex Terrain: EnKF System Design and Preliminary Assessment
doi:10.5194/amt-2021-295	LAPSE-RATE,doi:10.5194/amt-2021-295,LAPSE-RATE,r,,"Boundary-layer height and surface stability at SMEAR II, Hyytiälä, Finland in ERA5 and observations"
doi:10.3389/frsen.2021.641723	PECAN,doi:10.3389/frsen.2021.641723,PECAN,m,(no campaign tag),Challenges and Opportunities in Lidar Remote Sensing
doi:10.1029/2020gl090924	LAPSE-RATE,doi:10.1029/2020gl090924,LAPSE-RATE,r,,Circadian Rhythm of Dune‐Field Activity
doi:10.1007/s10546-021-00645-x	LAPSE-RATE,doi:10.1007/s10546-021-00645-x,LAPSE-RATE,r,,Comparison of Observations and Predictions of Daytime Planetary-Boundary-Layer Heights and Surface Meteorological Variables in the Columbia River Gorge and Basin During the Second Wind Forecast Improvement Project
doi:10.1175/jas-d-20-0164.1	(no campaign tag),doi:10.1175/jas-d-20-0164.1,(no campaign tag),m,VORTEX-SE,Controls of Quasi-Linear Convective System Tornado Intensity
doi:10.1175/jas-d-20-0117.1	(no campaign tag),doi:10.1175/jas-d-20-0117.1,(no campaign tag),m,VORTEX-SE,"Dynamics of Simulated High-Shear, Low-CAPE Supercells"
doi:10.3390/atmos12091103	VORTEX-SE,doi:10.3390/atmos12091103,VORTEX-SE,r,,Edge Detection Method for Determining Boundary Layer Height Based on Doppler Lidar
doi:10.1007/s10546-021-00640-2	PECAN,doi:10.1007/s10546-021-00640-2,PECAN,m,LAFE,Evaluation and Applications of Multi-Instrument Boundary-Layer Thermodynamic Retrievals
doi:10.3390/rs13183596	LAPSE-RATE,doi:10.3390/rs13183596,LAPSE-RATE,r,,Evaluation of a Method for Calculating the Height of the Stable Boundary Layer Based on Wind Profile Lidar and Turbulent Fluxes
doi:10.5194/acp-21-2343-2021	TORUS,doi:10.5194/acp-21-2343-2021,TORUS,r,,Formation of an additional density peak in the bottom side of the sodium layer associated with the passage of multiple mesospheric frontal systems
doi:10.1002/we.2641	PECAN,doi:10.1002/we.2641,PECAN,r,,Global patterns of offshore wind variability
doi:10.3390/atmos12030325	LAPSE-RATE,doi:10.3390/atmos12030325,LAPSE-RATE,r,,High–Resolution Modeling of Airflows and Particle Deposition over Complex Terrain at Sakurajima Volcano
doi:10.1016/j.renene.2021.10.034	LAPSE-RATE,doi:10.1016/j.renene.2021.10.034,LAPSE-RATE,r,,Improvement of wind power prediction from meteorological characterization with machine learning models
doi:10.3390/atmos12030376	LAPSE-RATE,doi:10.3390/atmos12030376,LAPSE-RATE,r,,"In Situ, Rotor-Based Drone Measurement of Wind Vector and Aerosol Concentration in Volcanic Areas"
doi:10.5194/acp-21-17079-2021	(no campaign tag),doi:10.5194/acp-21-17079-2021,(no campaign tag),r,,"Investigation of near-global daytime boundary layer height using high-resolution radiosondes: first results and comparison with ERA5, MERRA-2, JRA-55, and NCEP-2 reanalyses"
doi:10.1175/mwr-d-20-0391.1	PECAN,doi:10.1175/mwr-d-20-0391.1,PECAN,m,(no campaign tag),Low-Level Mesoscale and Cloud-Scale Interactions Promoting Deep Convection Initiation
doi:10.1175/jas-d-21-0040.1	VORTEX-SE,doi:10.1175/jas-d-21-0040.1,VORTEX-SE,r,,Mean flow and turbulence characteristics of a nocturnal downburst recorded on a 213 m tall meteorological tower
doi:10.1175/jtech-d-21-0061.1	PECAN,doi:10.1175/jtech-d-21-0061.1,PECAN,m,(no campaign tag),Observing Profiles of Derived Kinematic Field Quantities Using a Network of Profiling Sites
doi:10.3390/app11167658	LAPSE-RATE,doi:10.3390/app11167658,LAPSE-RATE,r,,Re-Visiting Acoustic Sounding to Advance the Measurement of Optical Turbulence
doi:10.5194/acp-21-15283-2021	CHEESEHEAD,doi:10.5194/acp-21-15283-2021,CHEESEHEAD,r,,Spatially and temporally resolved measurements of NO <sub> <i>x</i> </sub> fluxes by airborne eddy covariance over Greater London
doi:10.5194/amt-14-1457-2021	(no campaign tag),doi:10.5194/amt-14-1457-2021,(no campaign tag),r,,Spectral correction of turbulent energy damping on wind lidar measurements due to spatial averaging
doi:10.1007/s10546-021-00668-4	LAPSE-RATE,doi:10.1007/s10546-021-00668-4,LAPSE-RATE,r,,The Role of Atmospheric Stability and Turbulence in Offshore Wind-Farm Wakes in the German Bight
doi:10.5194/acp-21-6111-2021	LAPSE-RATE,doi:10.5194/acp-21-6111-2021,LAPSE-RATE,r,,The thermodynamic structures of the planetary boundary layer dominated by synoptic circulations and the regular effect on air pollution in Beijing
doi:10.11834/jrs.20210495	LAPSE-RATE,doi:10.11834/jrs.20210495,LAPSE-RATE,r,,Three dimensional remote sensing for oceanography and the &lt;italic&gt;Guanlan&lt;/italic&gt; ocean profiling Lidar
doi:10.5194/amt-14-1303-2021	LAPSE-RATE,doi:10.5194/amt-14-1303-2021,LAPSE-RATE,r,,Towards accurate and practical drone-based wind measurements with an ultrasonic anemometer
doi:10.5194/acp-21-9779-2021	(no campaign tag),doi:10.5194/acp-21-9779-2021,(no campaign tag),r,,"Tropospheric and stratospheric wildfire smoke profiling with lidar: mass, surface area, CCN, and INP retrieval"
doi:10.5194/acp-21-1937-2021	(no campaign tag),doi:10.5194/acp-21-1937-2021,(no campaign tag),r,,Turbulent and boundary layer characteristics during VOCALS-REx
doi:10.1175/bams-d-20-0030.1	LAPSE-RATE,doi:10.1175/bams-d-20-0030.1,LAPSE-RATE,r,,Utilizing a Storm-Generating Hotspot to Study Convective Cloud Transitions: The CACTI Experiment
doi:10.1029/2021ea002081	(no campaign tag),doi:10.1029/2021ea002081,(no campaign tag),r,,A Comparison of Processing Methods for the Oklahoma Lightning Mapping Array
doi:10.1175/jtech-d-21-0176.1	(no campaign tag),doi:10.1175/jtech-d-21-0176.1,(no campaign tag),r,,A Method for Correcting Staggered Pulse Repetition Time (PRT) and Dual Pulse Repetition Frequency (PRF) Processor Errors in Research Radar Datasets
doi:10.1109/jstars.2022.3189037	(no campaign tag),doi:10.1109/jstars.2022.3189037,(no campaign tag),r,,A Spatio-Temporal Neural Network for Fine-Scale Wind Field Nowcasting Based on Lidar Observation
doi:10.5194/essd-14-4153-2022	(no campaign tag),doi:10.5194/essd-14-4153-2022,(no campaign tag),r,,"A benchmark dataset of diurnal- and seasonal-scale radiation, heat, and CO <sub>2</sub> fluxes in a typical East Asian monsoon region"
doi:10.1017/jfm.2022.443	(no campaign tag),doi:10.1017/jfm.2022.443,(no campaign tag),r,,A physics-based model for wind turbine wake expansion in the atmospheric boundary layer
doi:10.11728/cjss2022.04.yg20	(no campaign tag),doi:10.11728/cjss2022.04.yg20,(no campaign tag),r,,Advances in the Researches of the Middle and Upper Atmosphere in China in 2020–2022
doi:10.1175/mwr-d-21-0284.1	PECAN,doi:10.1175/mwr-d-21-0284.1,PECAN,m,LAFE,An OSSE Study of the Impact of Micropulse Differential Absorption Lidar (MPD) Water Vapor Profiles on Convective Weather Forecasting
doi:10.15191/nwajom.2022.1004	LAPSE-RATE,doi:10.15191/nwajom.2022.1004,LAPSE-RATE,r,,Analysis of the 12 April 2020 Northern Louisiana Tornadic QLCS
doi:10.3390/photonics9040235	(no campaign tag),doi:10.3390/photonics9040235,(no campaign tag),r,,Analyzing the Effects of a Basin on Atmospheric Environment Relevant to Optical Turbulence
doi:10.1175/mwr-d-22-0136.1	PECAN,doi:10.1175/mwr-d-22-0136.1,PECAN,m,(no campaign tag),Assimilation of New York State Mesonet Surface and Profiler Data for the 21 June 2021 Convective Event
doi:10.1175/mwr-d-22-0090.1	(no campaign tag),doi:10.1175/mwr-d-22-0090.1,(no campaign tag),m,LAPSE-RATE,Assimilation of a Coordinated Fleet of Uncrewed Aircraft System Observations in Complex Terrain: Observing System Experiments
id:https://openalex.org/W6929071625	(no campaign tag),id:https://openalex.org/W6929071625,(no campaign tag),r,,Balloon-borne aerosol–cloud interaction studies (BACIS): field campaigns to understand and quantify aerosol effects on clouds
doi:10.1007/s10546-022-00759-w	(no campaign tag),doi:10.1007/s10546-022-00759-w,(no campaign tag),r,,Boundary Layer Height Characteristics in Mexico City from Two Remote Sensing Techniques
doi:10.5194/wes-7-487-2022	PECAN,doi:10.5194/wes-7-487-2022,PECAN,m,(no campaign tag),Can reanalysis products outperform mesoscale numerical weather prediction models in modeling the wind resource in simple terrain?
doi:10.3389/frsen.2022.1028587	(no campaign tag),doi:10.3389/frsen.2022.1028587,(no campaign tag),r,,Characteristics of a pre-monsoon dryline atmospheric boundary layer over the rain shadow region: A case study
doi:10.1029/2021ea002176	(no campaign tag),doi:10.1029/2021ea002176,(no campaign tag),r,,Comparison of Lower Stratosphere Wind Observations From the USTC's Rayleigh Doppler Lidar and the ESA's Satellite Mission Aeolus
doi:10.1088/1742-6596/2265/2/022034	(no campaign tag),doi:10.1088/1742-6596/2265/2/022034,(no campaign tag),r,,Comparison of near wind farm wake measurements from scanning lidar with engineering models
doi:10.3390/atmos13050750	PECAN,doi:10.3390/atmos13050750,PECAN,r,,"Convection Initiation Associated with the Merger of an Immature Sea-Breeze Front and a Gust Front in Bohai Bay Region, North China: A Case Study"
